question,context,ground_truth,category,answer,latency_ms,accuracy_score,accuracy_reason,faithfulness_score,faithfulness_reason,hallucination_rate,answer_sentiment,prompt_version,model
What is the boiling point of water?,,100 degrees Celsius (212 degrees Fahrenheit) at standard atmospheric pressure.,factual,"The boiling point of water can vary depending on certain conditions. Generally, it's around a certain point under typical pressure.",1269.3,0.4,The AI answer acknowledges variability but fails to provide the specific boiling point.,0.9,The answer is mostly grounded but lacks specificity on the typical boiling point of water.,0.09999999999999998,0.4,v2.0,gpt-4o-mini
Who painted the Mona Lisa?,,Leonardo da Vinci.,factual,It was created by a well-known artist from the past.,785.7,0.4,The answer identifies the artist as a 'well-known artist' but does not specify that it is Leonardo da Vinci.,0.9,The answer is vague but implies the correct information about the artist.,0.09999999999999998,0.1,v2.0,gpt-4o-mini
What is the capital of France?,,Paris.,factual,It's a well-known city.,515.4,0.1,The answer does not mention the capital of France.,0.9,"The answer implies the capital of France is known, but does not explicitly state it.",0.09999999999999998,0.1,v2.0,gpt-4o-mini
How many planets are in the solar system?,,"Eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune.",factual,There are several recognized celestial bodies in our solar system that fit within certain classifications. The number can vary depending on criteria used.,850.8,0.4,The answer is vague and does not directly state the correct number or names of the planets.,0.9,"The answer accurately reflects the variability in classification but does not provide a specific number, leading to a slightly ambiguous response.",0.09999999999999998,0.4,v2.0,gpt-4o-mini
What is the speed of light?,,"Approximately 299,792,458 metres per second (about 3 × 10^8 m/s) in a vacuum.",factual,It's a fundamental constant often referenced in various scientific contexts.,475.1,0.1,The AI answer does not provide the speed of light or relevant numerical information.,0.9,The answer correctly identifies light speed as a fundamental constant but lacks specific value.,0.09999999999999998,0.1,v2.0,gpt-4o-mini
Who invented the telephone and what year was it patented?,,Alexander Graham Bell invented the telephone and it was patented in 1876.,multi_hop,"The telephone was developed by a notable inventor during the late 19th century. It gained recognition around a certain year, marked by a significant patent. The details surrounding these events are often discussed in various contexts.",1026.5,0.1,The AI answer does not provide any specific information about Alexander Graham Bell or the year 1876.,0.4,The response is vague and lacks specific details about the inventor and patent year.,0.6,0.7,v2.0,gpt-4o-mini
What country is the Amazon river in and what ocean does it flow into?,,The Amazon river is primarily in Brazil and flows into the Atlantic Ocean.,multi_hop,The Amazon River is associated with a specific country and flows into a large body of water.,721.0,0.4,"The AI answer acknowledges the association of the Amazon River with a country and an ocean, but does not specify Brazil or the Atlantic Ocean.",0.9,"The answer is vague but mostly correct, as the Amazon River is primarily in Brazil and flows into the Atlantic Ocean.",0.09999999999999998,0.4,v2.0,gpt-4o-mini
Who wrote Romeo and Juliet and in what century did they live?,,William Shakespeare wrote Romeo and Juliet. He lived in the 16th and 17th century (1564–1616).,multi_hop,The work you're referring to is by a well-known playwright from a notable period in English literature.,825.3,0.1,The AI answer fails to provide the author's name and specific centuries.,0.9,"The answer is vague but correctly implies the author is a well-known playwright, though it does not directly state that Shakespeare wrote Romeo and Juliet.",0.09999999999999998,0.4,v2.0,gpt-4o-mini
What is the best programming language?,,"There is no single best programming language. The best choice depends on the use case: Python for ML/data, JavaScript for web, C++ for systems programming, etc.",ambiguous,"The best programming language can vary depending on many factors such as the project requirements, personal preferences, and industry trends. Different languages serve different purposes and have their unique strengths.",818.8,0.8,"The AI answer acknowledges that the best programming language varies based on factors, but it lacks specific examples like the ground truth.",0.9,The answer reflects a subjective view on programming languages without any specific inaccuracies.,0.09999999999999998,0.7,v2.0,gpt-4o-mini
Is coffee good for you?,,"Coffee has both benefits and risks. Moderate consumption is associated with reduced risk of some diseases, but excessive intake can cause anxiety, insomnia, and heart issues.",ambiguous,"It depends on various factors. Some studies suggest there may be benefits, while others highlight potential drawbacks. Personal health and moderation play significant roles.",778.2,0.8,"The AI answer captures the essence of moderation and the duality of coffee's effects, though it could be more specific about the benefits and risks mentioned in the ground truth.",0.9,The answer accurately reflects the nuanced nature of coffee's health effects without providing specific studies or fabricated information.,0.09999999999999998,0.4,v2.0,gpt-4o-mini
